,0
ASV730,20.0
ASV729,20.0
ASV728,20.0
ASV727,20.0
ASV726,20.0
ASV745,19.0
ASV752,19.0
ASV751,19.0
ASV750,19.0
ASV749,19.0
ASV748,19.0
ASV747,19.0
ASV746,19.0
ASV741,19.0
ASV744,19.0
ASV739,19.0
ASV743,19.0
ASV738,19.0
ASV737,19.0
ASV740,19.0
ASV742,19.0
ASV763,18.0
ASV772,18.0
ASV771,18.0
ASV770,18.0
ASV769,18.0
ASV768,18.0
ASV767,18.0
ASV766,18.0
ASV765,18.0
ASV764,18.0
ASV754,18.0
ASV762,18.0
ASV760,18.0
ASV759,18.0
ASV758,18.0
ASV757,18.0
ASV756,18.0
ASV755,18.0
ASV753,18.0
ASV761,18.0
ASV798,17.0
ASV792,17.0
ASV793,17.0
ASV794,17.0
ASV795,17.0
ASV796,17.0
ASV797,17.0
ASV790,17.0
ASV799,17.0
ASV800,17.0
ASV801,17.0
ASV802,17.0
ASV804,17.0
ASV805,17.0
ASV806,17.0
ASV791,17.0
ASV803,17.0
ASV789,17.0
ASV780,17.0
ASV788,17.0
ASV773,17.0
ASV774,17.0
ASV776,17.0
ASV777,17.0
ASV778,17.0
ASV779,17.0
ASV775,17.0
ASV781,17.0
ASV783,17.0
ASV784,17.0
ASV785,17.0
ASV786,17.0
ASV787,17.0
ASV782,17.0
ASV824,16.0
ASV820,16.0
ASV821,16.0
ASV822,16.0
ASV823,16.0
ASV827,16.0
ASV825,16.0
ASV826,16.0
ASV828,16.0
ASV818,16.0
ASV819,16.0
ASV816,16.0
ASV817,16.0
ASV815,16.0
ASV814,16.0
ASV813,16.0
ASV812,16.0
ASV811,16.0
ASV810,16.0
ASV809,16.0
ASV808,16.0
ASV807,16.0
ASV851,15.0
ASV846,15.0
ASV847,15.0
ASV848,15.0
ASV849,15.0
ASV850,15.0
ASV856,15.0
ASV852,15.0
ASV853,15.0
ASV854,15.0
ASV855,15.0
ASV844,15.0
ASV857,15.0
ASV845,15.0
ASV831,15.0
ASV843,15.0
ASV835,15.0
ASV842,15.0
ASV830,15.0
ASV832,15.0
ASV833,15.0
ASV834,15.0
ASV829,15.0
ASV836,15.0
ASV838,15.0
ASV839,15.0
ASV840,15.0
ASV841,15.0
ASV837,15.0
ASV881,14.0
ASV875,14.0
ASV876,14.0
ASV877,14.0
ASV878,14.0
ASV879,14.0
ASV880,14.0
ASV884,14.0
ASV882,14.0
ASV883,14.0
ASV885,14.0
ASV886,14.0
ASV887,14.0
ASV873,14.0
ASV874,14.0
ASV864,14.0
ASV872,14.0
ASV858,14.0
ASV871,14.0
ASV859,14.0
ASV860,14.0
ASV861,14.0
ASV863,14.0
ASV862,14.0
ASV865,14.0
ASV866,14.0
ASV867,14.0
ASV868,14.0
ASV869,14.0
ASV870,14.0
ASV911,13.0
ASV905,13.0
ASV907,13.0
ASV908,13.0
ASV909,13.0
ASV910,13.0
ASV918,13.0
ASV912,13.0
ASV913,13.0
ASV914,13.0
ASV915,13.0
ASV916,13.0
ASV917,13.0
ASV903,13.0
ASV904,13.0
ASV906,13.0
ASV902,13.0
ASV894,13.0
ASV901,13.0
ASV888,13.0
ASV889,13.0
ASV891,13.0
ASV892,13.0
ASV893,13.0
ASV890,13.0
ASV895,13.0
ASV896,13.0
ASV897,13.0
ASV898,13.0
ASV899,13.0
ASV900,13.0
ASV939,12.0
ASV941,12.0
ASV942,12.0
ASV943,12.0
ASV944,12.0
ASV945,12.0
ASV946,12.0
ASV947,12.0
ASV948,12.0
ASV956,12.0
ASV949,12.0
ASV950,12.0
ASV951,12.0
ASV952,12.0
ASV953,12.0
ASV954,12.0
ASV955,12.0
ASV957,12.0
ASV958,12.0
ASV940,12.0
ASV929,12.0
ASV938,12.0
ASV927,12.0
ASV919,12.0
ASV920,12.0
ASV921,12.0
ASV922,12.0
ASV923,12.0
ASV924,12.0
ASV925,12.0
ASV926,12.0
ASV937,12.0
ASV928,12.0
ASV931,12.0
ASV932,12.0
ASV933,12.0
ASV934,12.0
ASV935,12.0
ASV936,12.0
ASV930,12.0
ASV985,11.0
ASV987,11.0
ASV986,11.0
ASV980,11.0
ASV984,11.0
ASV983,11.0
ASV982,11.0
ASV989,11.0
ASV988,11.0
ASV993,11.0
ASV990,11.0
ASV991,11.0
ASV992,11.0
ASV994,11.0
ASV995,11.0
ASV996,11.0
ASV997,11.0
ASV978,11.0
ASV979,11.0
ASV981,11.0
ASV977,11.0
ASV967,11.0
ASV959,11.0
ASV976,11.0
ASV960,11.0
ASV961,11.0
ASV962,11.0
ASV964,11.0
ASV965,11.0
ASV966,11.0
ASV963,11.0
ASV968,11.0
ASV970,11.0
ASV971,11.0
ASV972,11.0
ASV973,11.0
ASV974,11.0
ASV969,11.0
ASV975,11.0
ASV1025,10.0
ASV1034,10.0
ASV1033,10.0
ASV1032,10.0
ASV1031,10.0
ASV1028,10.0
ASV1030,10.0
ASV1029,10.0
ASV1027,10.0
ASV1026,10.0
ASV1036,10.0
ASV1035,10.0
ASV1044,10.0
ASV1037,10.0
ASV1038,10.0
ASV1039,10.0
ASV1040,10.0
ASV1041,10.0
ASV1042,10.0
ASV1043,10.0
ASV1045,10.0
ASV1046,10.0
ASV1047,10.0
ASV1023,10.0
ASV1024,10.0
ASV1004,10.0
ASV1022,10.0
ASV1009,10.0
ASV998,10.0
ASV1021,10.0
ASV1000,10.0
ASV1001,10.0
ASV1002,10.0
ASV1003,10.0
ASV1005,10.0
ASV1006,10.0
ASV1007,10.0
ASV1008,10.0
ASV999,10.0
ASV1010,10.0
ASV1016,10.0
ASV1011,10.0
ASV1019,10.0
ASV1018,10.0
ASV1017,10.0
ASV1020,10.0
ASV1015,10.0
ASV1014,10.0
ASV1013,10.0
ASV1012,10.0
ASV1079,9.0
ASV1071,9.0
ASV1072,9.0
ASV1073,9.0
ASV1074,9.0
ASV1075,9.0
ASV1076,9.0
ASV1077,9.0
ASV1078,9.0
ASV1085,9.0
ASV1080,9.0
ASV1081,9.0
ASV1069,9.0
ASV1083,9.0
ASV1084,9.0
ASV1086,9.0
ASV1087,9.0
ASV1088,9.0
ASV1089,9.0
ASV1070,9.0
ASV1082,9.0
ASV1068,9.0
ASV1057,9.0
ASV1067,9.0
ASV1048,9.0
ASV1049,9.0
ASV1051,9.0
ASV1052,9.0
ASV1053,9.0
ASV1054,9.0
ASV1055,9.0
ASV1056,9.0
ASV1050,9.0
ASV1058,9.0
ASV1060,9.0
ASV1061,9.0
ASV1062,9.0
ASV1063,9.0
ASV1064,9.0
ASV1065,9.0
ASV1066,9.0
ASV1059,9.0
ASV1131,8.0
