#OTU_num	A4	A5	A6	A52	A53	A54	Taxonomy
ASV66	0.0	0.0	0.0	12.0	6.0	652.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae
ASV67	107.0	139.0	120.0	99.0	132.0	65.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium
ASV68	191.0	124.0	168.0	26.0	131.0	19.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Tessaracoccus
ASV69	123.0	146.0	142.0	109.0	127.0	0.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__PeM15
ASV70	100.0	127.0	92.0	133.0	125.0	11.0	k__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Thermovirga;s__
ASV71	93.0	57.0	42.0	74.0	32.0	282.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
ASV72	72.0	88.0	119.0	106.0	188.0	0.0	k__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__Candidatus_Cloacimonas;s__
ASV73	46.0	53.0	65.0	59.0	45.0	301.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Chryseomicrobium
ASV74	17.0	17.0	25.0	15.0	23.0	467.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium_mizutaii
ASV75	76.0	100.0	109.0	84.0	119.0	65.0	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__;s__
ASV76	145.0	170.0	105.0	0.0	131.0	0.0	k__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacteriales_(SR1);f__unidentified_Absconditabacteriales_(SR1);g__unidentified_Absconditabacteriales_(SR1);s__candidate_division_CPR1_bacterium_ADurb.Bin160
ASV77	0.0	0.0	0.0	130.0	23.0	377.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__;s__
ASV78	78.0	129.0	112.0	74.0	107.0	27.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium
ASV79	0.0	0.0	0.0	59.0	34.0	427.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter
ASV80	25.0	15.0	11.0	418.0	39.0	0.0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__unidentified_Anaerolineaceae;s__Pelotomaculum_sp_DTU098
ASV81	0.0	0.0	0.0	490.0	18.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae
ASV82	99.0	99.0	95.0	78.0	107.0	29.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__;f__;g__;s__
ASV83	70.0	88.0	85.0	119.0	105.0	34.0	k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__unidentified_67-14;s__Solirubrobacterales_bacterium_67-14
ASV84	183.0	99.0	174.0	0.0	16.0	23.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus
ASV85	56.0	20.0	139.0	160.0	118.0	0.0	k__Bacteria;p__Firmicutes;c__unidentified_Firmicutes;o__DTU014;f__;g__;s__
ASV86	103.0	86.0	66.0	90.0	120.0	25.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae
ASV87	95.0	125.0	100.0	65.0	93.0	10.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae
ASV88	86.0	108.0	76.0	73.0	105.0	27.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae
ASV89	70.0	113.0	79.0	42.0	159.0	0.0	k__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__W5;s__
ASV90	83.0	79.0	95.0	103.0	92.0	8.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_vadinHA17;g__;s__
ASV91	81.0	83.0	121.0	25.0	148.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group;s__
ASV92	93.0	38.0	231.0	3.0	77.0	6.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas
ASV93	85.0	123.0	72.0	25.0	105.0	36.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter_clade_CHAB-I-5_lineage
ASV94	67.0	72.0	107.0	108.0	77.0	0.0	k__Bacteria;p__Firmicutes;c__D8A-2;o__;f__;g__;s__
ASV95	0.0	13.0	18.0	23.0	0.0	376.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium
ASV96	63.0	29.0	82.0	93.0	93.0	59.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter
ASV97	78.0	74.0	67.0	54.0	68.0	76.0	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__;s__
ASV98	73.0	64.0	97.0	88.0	76.0	10.0	k__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__IMCC26207;s__
