"peak_number","name.x","formula","calc_mw","m_z","day","height","location","mean","std","n","se","name.y","class"
15274,"acycloguanosine aciclovir","C8 H11 N5 O3",225.08727,226.09454,"29","bottom","quarter",731493.942443996,63819.7374923747,2,45127.3691544035,NA,"unknown"
15443,"agroclavine","C16 H18 N2",238.14707,239.15434,"29","middle","quarter",187252.08271878,10080.2141238794,2,7127.78776280751,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"01","bottom","quarter",798410.473022528,17128.6976837734,2,12111.8182850905,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"01","middle","half",627860.041718428,12707.5475412332,2,8985.59303865646,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"01","top","half",765182.65028546,18142.2310510491,2,12828.49460205,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"01","top","quarter",866549.222330816,73166.8656680219,2,51736.7868720235,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"08","bottom","half",400091.010088391,17101.4834989134,2,12092.5749504315,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"11","bottom","half",619996.587015992,30514.875171347,2,21577.2751607205,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"15","bottom","half",422183.558293534,23232.2670773752,2,16427.693592749,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"18","bottom","half",472471.771092922,13652.7265888433,2,9653.935552657,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"29","bottom","half",492809.948777058,13624.3071530372,2,9633.83997688099,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"29","top","half",437050.643262205,15569.253546694,2,11009.12476088,NA,"unknown"
15810,"amastatin","C21 H38 N4 O8",474.26743,492.30124,"29","middle","quarter",7481146.87226642,676311.59631985,2,478224.515952865,NA,"unknown"
15891,"amicycline","C21 H23 N3 O7",429.15228,430.15956,"29","top","half",164155.106125062,32845.357235953,2,23225.174832037,NA,"unknown"
16267,"anisomycin","C14 H19 N O4",265.13151,266.13879,"29","middle","half",160880.664777626,39096.5233417959,2,27645.416775802,NA,"unknown"
16268,"anisomycin","C14 H19 N O4",265.13151,266.13878,"29","top","half",156904.676580839,17429.1672724429,2,12324.282368779,NA,"unknown"
16306,"aphidicolin","C20 H34 O4",338.24577,361.23502,"08","bottom","half",1680681.58698156,1057.70262687916,2,747.908699945081,NA,"unknown"
16401,"arbekacin","C22 H44 N6 O10",552.31458,553.32185,"01","bottom","quarter",200492.654758088,14981.1708221701,2,10593.2874784705,NA,"unknown"
16401,"arbekacin","C22 H44 N6 O10",552.31458,553.32185,"08","bottom","half",250242.467396016,5820.3998702704,2,4115.6442174855,NA,"unknown"
