"name.x","day","height","mean","std","n","se","name.y","class"
"cefrotil","01","middle",336996.31364642,18517.8169681929,2,13094.0739509805,"cef","beta-lactam"
"cefrotil","01","top",153822.802869431,21234.9133963632,2,15015.3512604775,"cef","beta-lactam"
"cefrotil","29","bottom",130077.005862402,4773.0552253721,2,3375.0597168385,"cef","beta-lactam"
"cefrotil","29","middle",190200.535980987,26745.7688401289,2,18912.114514903,"cef","beta-lactam"
"cephalothin","29","bottom",161650.252220741,14090.2925287779,2,9963.34139600099,"ceph","beta-lactam"
"cephalothin","29","top",227218.870619269,25870.3114438807,2,18293.072653376,"ceph","beta-lactam"
"chloramphenicol","01","bottom",8355255.49949497,361674.522876584,4,180837.261438292,"chloramphenicol","phenicol"
"chloramphenicol","01","bottom",8355255.49949497,361674.522876584,4,180837.261438292,"phenicol","phenicol"
"chloramphenicol","01","middle",32542936.056401,349038.607533292,2,246807.566282701,"chloramphenicol","phenicol"
"chloramphenicol","01","middle",32542936.056401,349038.607533292,2,246807.566282701,"phenicol","phenicol"
"chloramphenicol","01","top",33467089.3671164,29910106.6754446,4,14955053.3377223,"chloramphenicol","phenicol"
"chloramphenicol","01","top",33467089.3671164,29910106.6754446,4,14955053.3377223,"phenicol","phenicol"
"chloramphenicol","04","bottom",40297695.688696,60893.6436037974,2,43058.308323402,"chloramphenicol","phenicol"
"chloramphenicol","04","bottom",40297695.688696,60893.6436037974,2,43058.308323402,"phenicol","phenicol"
"chloramphenicol","08","bottom",88813582.1671723,5555740.79905576,2,3928501.9935271,"chloramphenicol","phenicol"
"chloramphenicol","08","bottom",88813582.1671723,5555740.79905576,2,3928501.9935271,"phenicol","phenicol"
"chloramphenicol","11","bottom",39812155.4281154,2043430.97190798,2,1444923.89712275,"chloramphenicol","phenicol"
"chloramphenicol","11","bottom",39812155.4281154,2043430.97190798,2,1444923.89712275,"phenicol","phenicol"
"chloramphenicol","15","bottom",84738383.263923,3863402.40517696,2,2731838.03915305,"chloramphenicol","phenicol"
"chloramphenicol","15","bottom",84738383.263923,3863402.40517696,2,2731838.03915305,"phenicol","phenicol"
"chloramphenicol","18","bottom",101341247.290067,749082.782808531,2,529681.515394002,"chloramphenicol","phenicol"
"chloramphenicol","18","bottom",101341247.290067,749082.782808531,2,529681.515394002,"phenicol","phenicol"
"chloramphenicol","22","bottom",2460598.15362618,157991.157175626,2,111716.618606395,"chloramphenicol","phenicol"
"chloramphenicol","22","bottom",2460598.15362618,157991.157175626,2,111716.618606395,"phenicol","phenicol"
