"","peak_number","name","formula","calc_mw","m_z","std","n","se","01-bottom-half","01-middle-half","01-bottom-quarter","01-top-quarter","29-middle-half","01-middle-quarter","01-top-half","04-bottom-half","08-bottom-half","15-bottom-half","18-bottom-half","25-bottom-half","29-bottom-quarter","29-top-half","11-bottom-half","22-bottom-half","29-top-quarter","29-bottom-half","29-middle-quarter"
"39",11762,"4-methoxy-4-oxobutan-2-yl 3-[(3-hydroxybutanoyl)oxy]butanoate","C13 H22 O7",290.13678,291.14405,7200.21157118323,2,5091.31842796151,NA,NA,NA,NA,NA,NA,NA,182058.621246565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",11762,"4-methoxy-4-oxobutan-2-yl 3-[(3-hydroxybutanoyl)oxy]butanoate","C13 H22 O7",290.13678,291.14405,12640.7226046859,2,8938.34067287149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138665.540141731,NA,NA,NA,NA
"41",13151,"5-Hydroxy-4-{(2R)-6-hydroxy-5-[(3E)-4-methyl-6-(2,6,6-trimethyl-1-cyclohexen-1-yl)-3-hexen-1-yl]-5,6-dihydro-2H-pyran-2-yl}-2(5H)-furanone","C25 H36 O5",416.25607,434.29006,101159.650973474,2,71530.6751858075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459606.028156281,NA,NA,NA,NA,NA,NA,NA,NA
"42",13153,"5-Hydroxy-4-{(2R)-6-hydroxy-5-[(3E)-4-methyl-6-(2,6,6-trimethyl-1-cyclohexen-1-yl)-3-hexen-1-yl]-5,6-dihydro-2H-pyran-2-yl}-2(5H)-furanone","C25 H36 O5",416.25626,417.26353,31920.0234147612,2,22570.865012211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316280.057078659,NA,NA,NA,NA,NA,NA
"43",13578,"6,7-dimethoxy-4-[3-(naphthalen-2-yloxy)pyrrolidin-1-yl]quinazoline","C24 H23 N3 O3",401.1733,402.18058,18316.0820441215,2,12951.4258181675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246041.49033658,NA,NA,NA,NA
"44",13578,"6,7-dimethoxy-4-[3-(naphthalen-2-yloxy)pyrrolidin-1-yl]quinazoline","C24 H23 N3 O3",401.1733,402.18058,96143.1899292205,2,67983.501563858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,879186.81141122
"45",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,1565239.94522838,2,1106791.77945505,53859647.1850901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,694779.879621167,2,491283.5643121,NA,NA,44956036.508484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,976789.097810438,2,690694.194850851,NA,43842176.3530516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,1309870.43131947,2,926218.264461748,NA,NA,NA,NA,NA,84533838.2558162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,992057.727849999,2,701490.746691253,NA,NA,NA,NA,NA,NA,60096826.8739675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,1315176.30195885,2,929970.081570949,NA,NA,NA,49611869.458671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,340688.163791414,2,240902.910886902,NA,NA,NA,NA,NA,NA,NA,34219567.0402298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,1189347.80503523,2,840995.89812975,NA,NA,NA,NA,NA,NA,NA,NA,26647772.3822544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,377125.316284936,2,266667.8685022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35750258.9500819,NA,NA,NA,NA
"54",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,714421.76238489,2,505172.4728096,NA,NA,NA,NA,NA,NA,NA,NA,NA,26723820.1914269,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,198669.854055942,2,140480.801020298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34349608.2156366,NA,NA,NA,NA,NA,NA,NA,NA
"56",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,129010.618811946,2,91224.2834069999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15251590.6987878,NA,NA,NA
"57",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,561998.251497193,2,397392.774648648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66411213.3795217,NA,NA,NA,NA,NA,NA,NA
"58",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,778870.443154052,2,550744.572020002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43686937.9965676,NA
"59",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,143513.599851023,2,101479.439647151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29870478.9614424,NA,NA,NA,NA,NA,NA
"60",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,170488.836140075,2,120553.812151249,NA,NA,NA,NA,42202243.2141968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,444422.009353485,2,314253.816522401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23996364.1991942
"62",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,12045.4554452976,2,8517.42322785035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31390071.6417442,NA,NA,NA,NA,NA
"63",14603,"8-Hydroxyquinoline","C9 H7 N O",145.05282,146.0601,1025260.57090992,2,724968.702173598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53081299.7973096,NA,NA
"64",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,46468.3620143312,2,32858.093890965,1298275.93114897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,146739.332687351,2,103760.377210015,NA,NA,2032844.4791223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
